Gen 22 - Best fitness: 760
Gen 23 - Best fitness: 880
Gen 24 - Best fitness: 560
Gen 25 - Best fitness: 660
Gen 26 - Best fitness: 760
Gen 27 - Best fitness: 700
Gen 28 - Best fitness: 700
Gen 29 - Best fitness: 560
Gen 30 - Best fitness: 530
Gen 31 - Best fitness: 560
Gen 32 - Best fitness: 730
Gen 33 - Best fitness: 570
Gen 34 - Best fitness: 600
Gen 35 - Best fitness: 340
Gen 36 - Best fitness: 570
Gen 37 - Best fitness: 750
Gen 38 - Best fitness: 630
Gen 39 - Best fitness: 690
Best timetable saved to timetable.json


2025-09-05 08:13:16 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py"
Gen 0 - Best fitness: 660
Gen 1 - Best fitness: 660
Gen 2 - Best fitness: 690
Gen 3 - Best fitness: 690
Gen 4 - Best fitness: 790
Gen 5 - Best fitness: 760
Gen 6 - Best fitness: 530
Gen 7 - Best fitness: 630
Gen 8 - Best fitness: 730
Gen 9 - Best fitness: 790
Gen 10 - Best fitness: 790
Gen 11 - Best fitness: 790
Gen 12 - Best fitness: 760
Gen 13 - Best fitness: 560
Gen 14 - Best fitness: 620
Gen 15 - Best fitness: 580
Gen 16 - Best fitness: 690
Gen 17 - Best fitness: 600
Gen 18 - Best fitness: 730
Gen 19 - Best fitness: 750
Gen 20 - Best fitness: 720
Gen 21 - Best fitness: 590
Gen 22 - Best fitness: 630
Gen 23 - Best fitness: 720
Gen 24 - Best fitness: 600
Gen 25 - Best fitness: 340
Gen 26 - Best fitness: 570
Gen 27 - Best fitness: 540
Gen 28 - Best fitness: 500
Gen 29 - Best fitness: 530
Gen 30 - Best fitness: 430
Gen 31 - Best fitness: 560
Gen 32 - Best fitness: 590
Gen 33 - Best fitness: 660
Gen 34 - Best fitness: 660
Gen 35 - Best fitness: 520
Gen 36 - Best fitness: 620
Gen 37 - Best fitness: 660
Gen 38 - Best fitness: 720
Gen 39 - Best fitness: 760
Best timetable saved to timetable.json


2025-09-05 08:18:24 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py"
Gen 0 - Best fitness: 530
Gen 1 - Best fitness: 750
Gen 2 - Best fitness: 750
Gen 3 - Best fitness: 690
Gen 4 - Best fitness: 820
Gen 5 - Best fitness: 760
Gen 6 - Best fitness: 660
Gen 7 - Best fitness: 660
Gen 8 - Best fitness: 820
Gen 9 - Best fitness: 850
Gen 10 - Best fitness: 630
Gen 11 - Best fitness: 600
Gen 12 - Best fitness: 790
Gen 13 - Best fitness: 790
Gen 14 - Best fitness: 630
Gen 15 - Best fitness: 590
Gen 16 - Best fitness: 490
Gen 17 - Best fitness: 690
Gen 18 - Best fitness: 330
Gen 19 - Best fitness: 630
Gen 20 - Best fitness: 600
Gen 21 - Best fitness: 730
Gen 22 - Best fitness: 750
Gen 23 - Best fitness: 730
Gen 24 - Best fitness: 660
Gen 25 - Best fitness: 620
Gen 26 - Best fitness: 500
Gen 27 - Best fitness: 690
Gen 28 - Best fitness: 620
Gen 29 - Best fitness: 420
Gen 30 - Best fitness: 720
Gen 31 - Best fitness: 690
Gen 32 - Best fitness: 690
Gen 33 - Best fitness: 650
Gen 34 - Best fitness: 690
Gen 35 - Best fitness: 660
Gen 36 - Best fitness: 630
Gen 37 - Best fitness: 720
Gen 38 - Best fitness: 590
Gen 39 - Best fitness: 590
Best timetable saved to timetable.json


2025-09-05 08:20:13 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py"
Gen 0 - Best fitness: 390
Gen 1 - Best fitness: 520
Gen 2 - Best fitness: 620
Gen 3 - Best fitness: 750
Gen 4 - Best fitness: 820
Gen 5 - Best fitness: 730
Gen 6 - Best fitness: 530
Gen 7 - Best fitness: 340
Gen 8 - Best fitness: 470
Gen 9 - Best fitness: 400
Gen 10 - Best fitness: 790
Gen 11 - Best fitness: 490
Gen 12 - Best fitness: 620
Gen 13 - Best fitness: 450
Gen 14 - Best fitness: 760
Gen 15 - Best fitness: 790
Gen 16 - Best fitness: 760
Gen 17 - Best fitness: 600
Gen 18 - Best fitness: 660
Gen 19 - Best fitness: 660
Gen 20 - Best fitness: 750
Gen 21 - Best fitness: 690
Gen 22 - Best fitness: 590
Gen 23 - Best fitness: 500
Gen 24 - Best fitness: 370
Gen 25 - Best fitness: 470
Gen 26 - Best fitness: 630
Gen 27 - Best fitness: 700
Gen 28 - Best fitness: 660
Gen 29 - Best fitness: 370
Gen 30 - Best fitness: 600
Gen 31 - Best fitness: 600
Gen 32 - Best fitness: 590
Gen 33 - Best fitness: 460
Gen 34 - Best fitness: 500
Gen 35 - Best fitness: 330
Gen 36 - Best fitness: 200
Gen 37 - Best fitness: 500
Gen 38 - Best fitness: 660
Gen 39 - Best fitness: 660
Best timetable saved to timetable.json


2025-09-05 16:36:52 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py"
Gen 0 - Best fitness: 590
Gen 1 - Best fitness: 460
Gen 2 - Best fitness: 630
Gen 3 - Best fitness: 790
Gen 4 - Best fitness: 850
Gen 5 - Best fitness: 470
Gen 6 - Best fitness: 600
Gen 7 - Best fitness: 600
Gen 8 - Best fitness: 630
Gen 9 - Best fitness: 440
Gen 10 - Best fitness: 730
Gen 11 - Best fitness: 670
Gen 12 - Best fitness: 440
Gen 13 - Best fitness: 510
Gen 14 - Best fitness: 500
Gen 15 - Best fitness: 560
Gen 16 - Best fitness: 620
Gen 17 - Best fitness: 730
Gen 18 - Best fitness: 650
Gen 19 - Best fitness: 820
Gen 20 - Best fitness: 520
Gen 21 - Best fitness: 400
Gen 22 - Best fitness: 600
Gen 23 - Best fitness: 790
Gen 24 - Best fitness: 660
Gen 25 - Best fitness: 500
Gen 26 - Best fitness: 570
Gen 27 - Best fitness: 570
Gen 28 - Best fitness: 700
Gen 29 - Best fitness: 560
Gen 30 - Best fitness: 530
Gen 31 - Best fitness: 530
Gen 32 - Best fitness: 630
Gen 33 - Best fitness: 460
Gen 34 - Best fitness: 560
Gen 35 - Best fitness: 630
Gen 36 - Best fitness: 630
